finished after: 20000 min_dist 510964380 at 0 bottoms 0 at 0
min_var = 223.30434 i = 10158
light: Light { loc: (172, 140), vel: (3, -3) }
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                                                                                    
                                                                                                                                                       #     #        #  #    #            #   #                    
                                                                                                                                                               #   #      #   # #                      #    #       
                                                                                                                                                            #         #  #               #            #   #    #    
                                                                                                                                                 #    ##   # #  #    ##   #   #                           ##        
                                                                                                                                               #           # #       ###  #    #   #    #  #       # ##    #     #  
                                                                                                                                             #        #  #           ##    #   #     # #      ##   ##    #          
                                                                                                                                                        ##    #   #           ## #  ##     #    # #  #     #    #   
                                                                                                                                              ##      #      ####     ##   ##   ## # ####   ##   ##       # #    #  
                                                                                                                                             #       #        # # # ###  ##   #   ##  ##  # #   ####   # #  #   #  #
                                                                                                                                             #      ##      #       ##    #   # # #  #   #  ## #  ##     #    #     
                                                                                                                                                   #         #            #       #    #  # ##   ##### #    ##  #  #
                                                                                                                                              #  #    #      #      ##   ## # #    #  # #   #    # ###          ##  
                                                                                                                                                # #    #     # #   # #   #  ##   #   # #   #    #  # #     #       #
                                                                                                                                             #  ###       #    # #   #   ##                  ###       #   #        
                                                                                                                                                 #    # # # # #     #   #   # #  ##  #   ## ##### # ##            # 
                                                                                                                                                  #  # #      #    #         #  ## #          ## #       #  #       
                                                                                                                                                     #   ##   ##           #  ## #    ##       #               #    
                                                                                                                                                                   #           #   # #             #    #    #      
                                                                                                                                               #            #            # #               #             #    #     
                                                                                                                                                 ##                    #                  #           #             



writing 10157
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                                                                                          
                                                                                                                                                #                                #                        ##   #     #    
                                                                                                                                                                       #                    #        #    #               
                                                                                                                                                                                 #                 #    #                 
                                                                                                                                                                             #      #            # #                      
                                                                                                                                                         #   ##  ##    #     ###    # ## # ##   ##       #   #            
                                                                                                                                                    #                      #        #  ##   #                             
                                                                                                                                                    #      #    #            #   #         #               ###            
                                                                                                                                            #            ## # #   #       ####      #         ##     #                    
                                                                                                                                                         #    # #          ##          #  #       #     # ##   #        # 
                                                                                                                                                    #         ###               #   # # #               ##           ##   
                                                                                                                                                        #     #   ##    #    #    #    ###   #         #        #         
                                                                                                                                            # #       # #  #        ##                  #  ###     ###           ##       
                                                                                                                                                #     #     #      ##       #           #  #   #    ##      #       #     
                                                                                                                                                    #  #        # #    #        #    #  #       ##     ##                 
                                                                                                                                                    #       #  ##     # #      # #      #    # ##                         
                                                                                                                                           #       #    #   #     #    ## #      ##    #    #     #      #                
                                                                                                                                                            ##  #         # #    # #    # ##        ###   ## #    #     ##
                                                                                                                                                     #          # #      #            ##    #                         #   
                                                                                                                                                                  #   #    #       #  #       #       ##      ##          
                                                                                                                                                                                       #        #        #              # 
                                                                                                                                                    #     #  #  #           #   ##      # #                         #     
                                                                                                                                              #     #  #    # #         ### #     #    ###  #       #                     
                                                                                                                                                    #     #    #  #    # #    #  ## ## #    #       #       #  #          
                                                                                                                                                           ## #     #     #    #    #  # #     #                          
                                                                                                                                                    #   # ## #           # #    #     ##    #       #       #             
                                                                                                                                                #           #      #   ## #     #     #              #    #               
                                                                                                                                                              # #              #         #   #    #  #           #        
                                                                                                                                                    #   #         #     #               ##  #         #                   
                                                                                                                                                                  #                               #                       
                                                                                                                                                                                   #       #                     #        



writing 10161
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                                                                                         
                                                                                                                                                    #           #         #  #              #       #                    
                                                                                                                                                                     #                                      #            
                                                                                                                                                           #      #           #   #                        #    #        
                                                                                                                                                          #          #                               #                   
                                                                                                                                            #                   #     # ######             #         # #                 
                                                                                                                                        #         # #   # #          #                                # #                
                                                                                                                                                # #   #    #    ##     #  #         #  # #   #  ##             #         
                                                                                                                                                  #       # #           #   #          #            ## #      ##         
                                                                                                                                        # # #              #               #    # ##        #    #  #   #            #   
                                                                                                                                                  #       # #     #             #  ##  #   ###                    #      
                                                                                                                                                        #     #   #  #       ##   #  # # #  # ##              #   #     #
                                                                                                                                        #       #               #           #   #                   ## ##   #            
                                                                                                                                                                #    #            ## #  #      #   ###  # # #   # #      
                                                                                                                                                        #  #         #      #  #     #  # #   # #     ##             #   
                                                                                                                                          #     #               ###  #     #     #             #                   #     
                                                                                                                                        #   #  #      # # #   # # #   #        ##      #     #      #  #                 
                                                                                                                                                        #     #    #  # #            #      #    #  #   #               #
                                                                                                                                            # ###             #                                 #   #  # #  #            
                                                                                                                                                  #         #       # #   #  ##    ##      ###   # #                     
                                                                                                                                                                 #      #    #        #     #    ##     #               #
                                                                                                                                        #           #     #       # #     #  #    #     ###   ##   #  # ## #   #  #   #  
                                                                                                                                                ##              #  #        #  #  ##   # #  #       #   #   #     #      
                                                                                                                                                    # #      #  #           #  #        #        #               #       
                                                                                                                                                  #     # #### ##      #       ## ##     # #       #       #     #       
                                                                                                                                                #        #   #     ## #    #   #        # # #   ##   #  #       #        
                                                                                                                                                                       #    #       #  #    #                  #         
                                                                                                                                                                            #                          #                 
                                                                                                                                            #            #                                  #         #  #       #       
                                                                                                                                                                       ##                                                
                                                                                                                                              # #                   #                #           #                       



